51300017352,bbg,113,193
51300036878,abf,47,113
51300061547,edf,221,232
51300062600,eda,213,38
51300071103,bgf,52,258
51300082761,bbb,290,77
51300084948,bbb,293,64
51300124016,aaf,153,175
51300135350,bea,230,147
51300163339,gdb,269,186
51300227727,abf,67,118
51300232372,eef,134,48
51300243929,caa,46,18
51300271512,bfd,49,184
51300294087,dge,230,115
51300296990,beb,172,281
51300299913,fdc,3,8
51300326640,acd,177,219
51300347149,cge,85,260
51300393075,gef,116,30
51300403902,cdg,193,7
51300428043,dca,287,138
51300432332,ecg,20,190
51300490197,ecg,94,167
51300516557,cec,101,30
51300521483,eea,148,69
51300538639,cgf,234,8
51300587386,ggf,206,292
51300601360,agc,147,110
51300606042,ada,206,13
51300692412,gdf,283,178
51300723513,ddg,135,51
51300728453,bed,211,228
51300753002,ced,270,276
51300796215,fca,40,187
51300822019,bge,152,100
51300858844,eab,116,94
51300900203,abg,223,153
51300939182,cbd,14,94
51300941474,fga,156,126
51300972699,cdb,4,85
51300979117,ffd,217,94
51300980922,gdc,61,61
51301024267,gcb,224,5
51301026724,ffg,29,250
51301056028,dbd,61,172
51301066708,ffa,136,217
51301089157,fac,163,243
51301095647,abg,158,131
51301110493,eae,70,119
51301126163,aaa,114,266
51301153726,cbb,157,239
51301171318,cec,249,29
51301178329,dcf,27,156
51301215969,daa,70,69
51301216305,ebb,103,198
51301231854,dca,218,158
51301259280,bgg,295,162
51301277175,ecd,120,266
51301306107,cdb,160,99
51301359226,afd,96,269
51301379389,fde,2,149
51301409979,gfg,213,63
51301423889,abd,54,69
51301557232,ddf,59,112
51301564878,gbg,242,120
51301568282,cae,202,252
51301583072,dfg,93,120
51301659186,ddc,111,282
51301666248,bbb,113,51
51301667547,dgb,197,234
51301696708,bfb,134,230
51301704923,cbb,184,255
51301722906,aad,258,272
51301749093,aef,133,189
51301774435,ecg,70,160
51301786952,afb,19,61
51301812851,ace,34,239
51301822851,eef,183,46
51301840504,dag,267,162
51301856861,cae,218,284
51301866518,bgd,14,96
51301881149,fgg,136,275
51301899215,agd,94,239
51301905019,gdg,196,267
51301913618,egc,187,294
51301942794,aac,128,103
51301945909,aff,232,31
51301971501,eec,35,298
51301971780,agf,282,126
51301976701,ebc,120,85
51301981416,fec,274,275
51301994342,gce,93,110
51302019295,agc,238,114
51302024699,fag,94,64
51302042416,edb,212,143
51302058461,fgd,10,235
51302067230,fbd,134,26
51302086297,ffe,207,210
51302107521,gge,82,151
51302107984,abg,143,142
51302124950,fdg,185,239
51302154141,eff,233,182
51302162858,cgd,176,173
51302168128,dea,140,209
51302178663,edd,125,188
51302234740,aae,66,201
51302321499,agc,58,101
51302325511,egf,171,188
51302332986,dce,173,97
51302408029,dbg,38,182
51302415908,ced,176,281
51302417577,gfa,168,278
51302439160,bcg,294,280
51302485799,abd,143,62
51302485988,deg,126,181
51302493348,gfd,281,208
51302512351,ddf,278,120
